44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
08:05:25.1 (13984722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (13990904)|STATEMENT_EXECUTE|[11]
08:05:25.1 (14006728)|HEAP_ALLOCATE|[11]|Bytes:4
08:05:25.1 (14012222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (14018430)|STATEMENT_EXECUTE|[12]
08:05:25.1 (14030043)|HEAP_ALLOCATE|[12]|Bytes:4
08:05:25.1 (14035404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (14056891)|STATEMENT_EXECUTE|[13]
08:05:25.1 (14078301)|HEAP_ALLOCATE|[13]|Bytes:4
08:05:25.1 (14089554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (14099324)|STATEMENT_EXECUTE|[14]
08:05:25.1 (14120536)|HEAP_ALLOCATE|[14]|Bytes:4
08:05:25.1 (14127540)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (14136538)|STATEMENT_EXECUTE|[15]
08:05:25.1 (14155784)|HEAP_ALLOCATE|[15]|Bytes:4
08:05:25.1 (14165758)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:05:25.1 (14173532)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14177170)|VARIABLE_SCOPE_BEGIN|[17]|i|Integer|false|false
08:05:25.1 (14184540)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14192102)|VARIABLE_ASSIGNMENT|[17]|i|0
08:05:25.1 (14201066)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14202629)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14206181)|HEAP_ALLOCATE|[19]|Bytes:17
08:05:25.1 (14215377)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14253606)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14269415)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14289760)|USER_DEBUG|[19]|DEBUG|Values In Array: 13
08:05:25.1 (14299499)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14306165)|VARIABLE_ASSIGNMENT|[17]|i|1
08:05:25.1 (14311790)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14313380)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14318106)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14333592)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14342757)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14349050)|USER_DEBUG|[19]|DEBUG|Values In Array: 78
08:05:25.1 (14355374)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14362001)|VARIABLE_ASSIGNMENT|[17]|i|2
08:05:25.1 (14368476)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14370244)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14373881)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14383917)|HEAP_ALLOCATE|[19]|Bytes:1
08:05:25.1 (14392054)|HEAP_ALLOCATE|[19]|Bytes:18
08:05:25.1 (14397846)|USER_DEBUG|[19]|DEBUG|Values In Array: 4
08:05:25.1 (14406839)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14412256)|VARIABLE_ASSIGNMENT|[17]|i|3
08:05:25.1 (14416698)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14418192)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14421374)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14431263)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14441600)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14448065)|USER_DEBUG|[19]|DEBUG|Values In Array: 65
08:05:25.1 (14453957)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14459231)|VARIABLE_ASSIGNMENT|[17]|i|4
08:05:25.1 (14478361)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14480631)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14484307)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14499460)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14507941)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14513736)|USER_DEBUG|[19]|DEBUG|Values In Array: 19
08:05:25.1 (14520839)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14540988)|VARIABLE_ASSIGNMENT|[17]|i|5
08:05:25.1 (14549626)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14551996)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14557107)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14577584)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14592381)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14602598)|USER_DEBUG|[19]|DEBUG|Values In Array: 90
08:05:25.1 (14612889)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14622148)|VARIABLE_ASSIGNMENT|[17]|i|6
08:05:25.1 (14630006)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14632441)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14637130)|HEAP_ALLOCATE|[19]|Bytes:8
08:05:25.1 (14658002)|HEAP_ALLOCATE|[19]|Bytes:2
08:05:25.1 (14669353)|HEAP_ALLOCATE|[19]|Bytes:19
08:05:25.1 (14676224)|USER_DEBUG|[19]|DEBUG|Values In Array: 54
08:05:25.1 (14684878)|HEAP_ALLOCATE|[17]|Bytes:4
08:05:25.1 (14690913)|VARIABLE_ASSIGNMENT|[17]|i|7
08:05:25.1 (14696376)|STATEMENT_EXECUTE|[17]
08:05:25.1 (14697876)|STATEMENT_EXECUTE|[19]
08:05:25.1 (14738208)|HEAP_ALLOCATE|[19]|Bytes:31
08:05:25.1 (14753152)|METHOD_EXIT|[2]|01p6F00000MPtB2|Array_Operations.PerformOperation()
08:05:25.1 (14762170)|SYSTEM_MODE_EXIT|false
08:05:25.1 (14863627)|FATAL_ERROR|System.ListException: List index out of bounds: 7

Class.Array_Operations.PerformOperation: line 19, column 1
AnonymousBlock: line 2, column 1
AnonymousBlock: line 2, column 1
08:05:25.14 (14909799)|CUMULATIVE_LIMIT_USAGE
08:05:25.14 (14909799)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

08:05:25.14 (14909799)|CUMULATIVE_LIMIT_USAGE_END

08:05:25.1 (14946133)|CODE_UNIT_FINISHED|execute_anonymous_apex
08:05:25.1 (16053060)|EXECUTION_FINISHED
