44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
04:27:13.1 (13308579)|HEAP_ALLOCATE|[3]|Bytes:4
04:27:13.1 (13342894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
04:27:13.1 (13363826)|VARIABLE_ASSIGNMENT|[3]|this.integerList|"List of size 6 too large to display"|0x3a32bdd2
04:27:13.1 (13376301)|CONSTRUCTOR_EXIT|[1]|01p6F00000MPtB2|<init>()|Array_Operations
04:27:13.1 (13383699)|SYSTEM_MODE_EXIT|false
04:27:13.1 (13411318)|VARIABLE_ASSIGNMENT|[1]|obj|{"integerList":"0x1c633ba7"}|0x3a32bdd2
04:27:13.1 (13418844)|STATEMENT_EXECUTE|[2]
04:27:13.1 (13443317)|SYSTEM_MODE_ENTER|false
04:27:13.1 (13463473)|HEAP_ALLOCATE|[2]|Bytes:5
04:27:13.1 (13489905)|METHOD_ENTRY|[2]|01p6F00000MPtB2|Array_Operations.Duplicate()
04:27:13.1 (13515933)|VARIABLE_SCOPE_BEGIN|[55]|this|Array_Operations|true|false
04:27:13.1 (13537281)|VARIABLE_ASSIGNMENT|[55]|this|{"integerList":"0x1c633ba7"}|0x3a32bdd2
04:27:13.1 (13551694)|HEAP_ALLOCATE|[59]|Bytes:5
04:27:13.1 (13556818)|STATEMENT_EXECUTE|[56]
04:27:13.1 (13559565)|STATEMENT_EXECUTE|[59]
04:27:13.1 (13563258)|VARIABLE_SCOPE_BEGIN|[59]|i|Integer|false|false
04:27:13.1 (13570666)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (13579409)|VARIABLE_ASSIGNMENT|[59]|i|0
04:27:13.1 (13618472)|STATEMENT_EXECUTE|[59]
04:27:13.1 (13620685)|STATEMENT_EXECUTE|[60]
04:27:13.1 (13623659)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (13631273)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (13638181)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (13643526)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13646630)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (13653195)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13658898)|VARIABLE_ASSIGNMENT|[61]|j|1
04:27:13.1 (13678983)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13686537)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13694299)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13698585)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13701274)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13707666)|VARIABLE_ASSIGNMENT|[61]|j|2
04:27:13.1 (13719671)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13722696)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13728000)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13731696)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13733538)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13738771)|VARIABLE_ASSIGNMENT|[61]|j|3
04:27:13.1 (13748585)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13751320)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13756642)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13765354)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13767772)|STATEMENT_EXECUTE|[63]
04:27:13.1 (13769639)|HEAP_ALLOCATE|[63]|Bytes:4
04:27:13.1 (13776409)|VARIABLE_ASSIGNMENT|[63]|count|1
04:27:13.1 (13781019)|STATEMENT_EXECUTE|[64]
04:27:13.1 (13809285)|HEAP_ALLOCATE|[64]|Bytes:4
04:27:13.1 (13825554)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13831663)|VARIABLE_ASSIGNMENT|[61]|j|4
04:27:13.1 (13842924)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13846265)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13851267)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13855067)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13856995)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13861919)|VARIABLE_ASSIGNMENT|[61]|j|5
04:27:13.1 (13871244)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13873891)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13878599)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13882388)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13884331)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13889287)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (13899412)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (13904557)|VARIABLE_ASSIGNMENT|[59]|i|1
04:27:13.1 (13914630)|STATEMENT_EXECUTE|[59]
04:27:13.1 (13916325)|STATEMENT_EXECUTE|[60]
04:27:13.1 (13919047)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (13925676)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (13930973)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (13935274)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13938014)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (13944834)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13949743)|VARIABLE_ASSIGNMENT|[61]|j|2
04:27:13.1 (13959696)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13962455)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13967343)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13971072)|STATEMENT_EXECUTE|[62]
04:27:13.1 (13972926)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (13978080)|VARIABLE_ASSIGNMENT|[61]|j|3
04:27:13.1 (13988087)|STATEMENT_EXECUTE|[61]
04:27:13.1 (13990709)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13995978)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (13999726)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14001562)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14008279)|VARIABLE_ASSIGNMENT|[61]|j|4
04:27:13.1 (14018058)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14020852)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14025466)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14029498)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14031311)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14036690)|VARIABLE_ASSIGNMENT|[61]|j|5
04:27:13.1 (14046052)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14048861)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14053649)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14057930)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14059755)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14065252)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (14074866)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (14080010)|VARIABLE_ASSIGNMENT|[59]|i|2
04:27:13.1 (14089551)|STATEMENT_EXECUTE|[59]
04:27:13.1 (14091289)|STATEMENT_EXECUTE|[60]
04:27:13.1 (14093646)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (14100752)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (14105742)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (14110296)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14113039)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (14118892)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14123601)|VARIABLE_ASSIGNMENT|[61]|j|3
04:27:13.1 (14133064)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14135891)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14140661)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14144473)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14146465)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14151517)|VARIABLE_ASSIGNMENT|[61]|j|4
04:27:13.1 (14160792)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14163399)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14168003)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14171693)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14173524)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14178865)|VARIABLE_ASSIGNMENT|[61]|j|5
04:27:13.1 (14188236)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14190843)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14195509)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14199348)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14201167)|STATEMENT_EXECUTE|[63]
04:27:13.1 (14202831)|HEAP_ALLOCATE|[63]|Bytes:4
04:27:13.1 (14208265)|VARIABLE_ASSIGNMENT|[63]|count|1
04:27:13.1 (14212120)|STATEMENT_EXECUTE|[64]
04:27:13.1 (14217055)|HEAP_ALLOCATE|[64]|Bytes:4
04:27:13.1 (14224247)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14229576)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (14239256)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (14244726)|VARIABLE_ASSIGNMENT|[59]|i|3
04:27:13.1 (14254796)|STATEMENT_EXECUTE|[59]
04:27:13.1 (14256500)|STATEMENT_EXECUTE|[60]
04:27:13.1 (14258740)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (14265557)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (14270524)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (14274965)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14277421)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (14283579)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14288896)|VARIABLE_ASSIGNMENT|[61]|j|4
04:27:13.1 (14298215)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14301075)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14306136)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14310210)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14312722)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14317771)|VARIABLE_ASSIGNMENT|[61]|j|5
04:27:13.1 (14327042)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14329689)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14334486)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14338173)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14340105)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14344997)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (14354499)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (14359744)|VARIABLE_ASSIGNMENT|[59]|i|4
04:27:13.1 (14369054)|STATEMENT_EXECUTE|[59]
04:27:13.1 (14370871)|STATEMENT_EXECUTE|[60]
04:27:13.1 (14373058)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (14379309)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (14384611)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (14389068)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14391564)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (14397197)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14402041)|VARIABLE_ASSIGNMENT|[61]|j|5
04:27:13.1 (14411508)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14414531)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14419853)|HEAP_ALLOCATE|[62]|Bytes:8
04:27:13.1 (14423997)|STATEMENT_EXECUTE|[62]
04:27:13.1 (14425918)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14431228)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (14441615)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (14446945)|VARIABLE_ASSIGNMENT|[59]|i|5
04:27:13.1 (14455886)|STATEMENT_EXECUTE|[59]
04:27:13.1 (14457670)|STATEMENT_EXECUTE|[60]
04:27:13.1 (14459881)|VARIABLE_SCOPE_BEGIN|[60]|count|Integer|false|false
04:27:13.1 (14465847)|HEAP_ALLOCATE|[60]|Bytes:4
04:27:13.1 (14471012)|VARIABLE_ASSIGNMENT|[60]|count|0
04:27:13.1 (14475250)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14477730)|VARIABLE_SCOPE_BEGIN|[61]|j|Integer|false|false
04:27:13.1 (14483752)|HEAP_ALLOCATE|[61]|Bytes:4
04:27:13.1 (14488863)|VARIABLE_ASSIGNMENT|[61]|j|6
04:27:13.1 (14498417)|STATEMENT_EXECUTE|[61]
04:27:13.1 (14500324)|HEAP_ALLOCATE|[59]|Bytes:4
04:27:13.1 (14505341)|VARIABLE_ASSIGNMENT|[59]|i|6
04:27:13.1 (14515065)|STATEMENT_EXECUTE|[68]
04:27:13.1 (14519045)|HEAP_ALLOCATE|[68]|Bytes:26
04:27:13.1 (14560613)|USER_DEBUG|[68]|DEBUG|Occurance of numbers are:-
04:27:13.1 (14572113)|STATEMENT_EXECUTE|[70]
04:27:13.1 (14598784)|USER_DEBUG|[70]|DEBUG|(1, 37, 1, 43, 0, 2)
04:27:13.1 (14613451)|METHOD_EXIT|[2]|01p6F00000MPtB2|Array_Operations.Duplicate()
04:27:13.1 (14619644)|SYSTEM_MODE_EXIT|false
04:27:13.14 (14661323)|CUMULATIVE_LIMIT_USAGE
04:27:13.14 (14661323)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

04:27:13.14 (14661323)|CUMULATIVE_LIMIT_USAGE_END

04:27:13.1 (14702015)|CODE_UNIT_FINISHED|execute_anonymous_apex
04:27:13.1 (15629296)|EXECUTION_FINISHED
